npar,34
chisq,207.794
df,54
pvalue,0
cfi,0.932
tli,0.929
aic,12435.431
bic,12566.601
bic2,12458.741
rmsea,0.128
rmsea.ci.lower,0.109
rmsea.ci.upper,0.146
rmsea.pvalue,0
