,Negotiation,Equality,Communal Sharing,Spatial Distance,Endurance,Synchronicity,Activity Intensity,Importance for society,Activeness,Uniqueness,Goods Exchange,Attachment,Love Expression,Socioemotional,Occupational,Mating,Information Exchange,Conflict,Valence Evaluation,Coercion,Affiliation/Coalition,Service Exchange,Visibility,Strategic,Formality and Regulation,Concreteness,Expected Reciprocity,Importance for individuals involved,Intimacy,Money Exchange
Club Member -  Club President,49.7,12.84615385,33,67.76190476,41.45,60.61111111,62.30769231,44.52631579,69.25,46.14285714,24.93333333,39.5625,36.92857143,40.625,66.17647059,5.125,68.59090909,20.82352941,70.25,29.8,80.5,55.65,80.9,66.38461538,80,55.31578947,47.9375,58.05,16.125,61.1875
Politician - Supporter,53.85714286,33.35294118,14.5,29,35.25,60.22222222,15.64285714,75.33333333,46.36842105,16.42857143,25.05882353,23,33.33333333,8.2,81.42857143,2.619047619,62.41176471,34.57142857,76.73333333,36,73.05263158,62.13333333,85.42105263,78.53333333,80.9,27.58333333,22.15,53.15,5,67.61111111
Leader - Follower,51.52631579,2.8,47.76470588,68.70588235,39.52941176,65,58.61111111,67.07692308,70,34.3125,20,56.36363636,41,27.83333333,66.46666667,8.666666667,84.6875,29.63157895,60.7,32.23529412,65.8,54.4375,66.33333333,70.6875,75.4,43,43.16666667,56.21052632,27.09090909,48.5625
Representative - Citizen,55.86363636,22,28.23529412,39.1,37.875,64.3,18.47058824,86.27777778,33.66666667,21.70588235,25.61111111,23.83333333,15.05263158,18.75,80.25,2,54.46153846,48.93333333,63.22727273,40.25,57.93333333,78.6,82.9,75.08333333,78.04761905,29,44.84210526,48.38461538,8.944444444,29.875
Officer - Soldier,11.80952381,11.66666667,43.75,75.125,48.28571429,67.66666667,53.57142857,78.125,61.23529412,35.2,22.13333333,31.26315789,13.6,18.4375,90.2173913,1.214285714,72.6875,45.45454545,73.44444444,48.375,67.14285714,76,77.22222222,61.46666667,92.94117647,53.86666667,28.23076923,65.6875,6.636363636,25.08333333
Babysitter - Infant,36.91666667,8.909090909,27.55555556,89.41176471,34.05,85.2,66.85714286,81.91666667,80.8,65,36.42105263,60.1875,64.82608696,51.14285714,86.14285714,5.684210526,62.81818182,16.5625,83.93333333,18.5,60.38888889,81.05263158,41.65,19.11764706,42.9,63,32.6,75.4,44.23529412,55
Religious leader - Congregant,33.18181818,10.6,52.9,67.5,69.92857143,79.64285714,61.8,57.46153846,54,32.54545455,24.91666667,66.83333333,51.47619048,49.36842105,71.41666667,7.454545455,74.625,25.92307692,81.23529412,38.8,80.66666667,59,82.125,43.11764706,83.23076923,29.83333333,53,72.11111111,25.92857143,46.13333333
Between religious followers,39.91304348,67.75,70,66.61904762,68,65.17647059,59.76470588,43.92857143,50.17391304,50.42857143,15.4,63.3125,47.94117647,53.07692308,35.33333333,12.41666667,54.38888889,24.64705882,80.4375,32.68421053,81.9375,42.69230769,51.57142857,27.53333333,44.8,10.8,56.76470588,57.33333333,21.4,27.47368421
Prostitute - Customer,67.52631579,37.85714286,6.421052632,84.9,4.05,80.17647059,27.55555556,10.33333333,73.9,41.45454545,49.88888889,19.86956522,6.36,20.27272727,91,51.1875,26.8125,28.92857143,64,43.07142857,30.18181818,93.30769231,6.909090909,81.89473684,65.95238095,92.0625,50.625,20.39130435,64.28571429,98.88235294
Guide - Tourist,49,54.27272727,22.33333333,80.93333333,3.058823529,81.15,6.368421053,35.05263158,75.25,29.89473684,53.9,14.38095238,8.384615385,10.22222222,93,1.409090909,90.61538462,4.352941176,88.25,19.9047619,53.3125,89,80.52173913,81.83333333,78.38095238,65.09090909,31.52631579,36,3.615384615,88.08333333
Athlete - Referee,41.68181818,8.75,29,77.8125,16.88235294,80.68421053,36.94117647,34.08333333,61.13333333,40.53333333,19,10.07692308,17.25,12.84615385,94.84210526,3.181818182,67.11111111,71.54545455,41.2,45.27777778,47.21052632,34.625,95.21428571,78.28571429,85.93333333,41.86666667,48.92857143,52.13043478,12.64705882,23.26315789
Slave - Master,25.94444444,5.095238095,14.78571429,75.88888889,65.6,75.3,64.06666667,13.8,65.1,52.9375,40.55,19.42105263,9.142857143,12.5,80.35,13.3125,14.8,84.52173913,22.8125,93.15384615,11.84,79.88888889,39.9047619,53.22222222,67,62.85714286,10.30769231,30.55555556,13.28571429,31.21052632
Reader - Writer,26.83333333,37.57142857,12.71428571,6.928571429,27.15384615,16.75,22.1,62.61111111,32.91304348,13.4,74.30769231,33.92857143,35.14285714,21.0625,69.11764706,0.375,75,10.92307692,78.25,20.78947368,52.91666667,62.3125,56.15789474,59.1,53.57142857,47.11111111,23.28571429,52.44444444,8.590909091,68.9
Reviewer - Writer,35.85,40.70588235,27.22222222,37.83333333,24.0625,58.48,30.45454545,60.35294118,56.10526316,51.4,51.11111111,24.53846154,24.5,10.93333333,85.5625,0.5,75.5625,37.625,61.36363636,34.30769231,47.76470588,62.10526316,74,67.71428571,71.47058824,51.86363636,52,52.66666667,9.571428571,58.9
Performer - Audience,22.125,35.05882353,6.142857143,69.07142857,15,77.93333333,26.44444444,61.69230769,45.94444444,16.625,44.0625,39.47058824,50.28571429,36.5,77.35294118,2.727272727,61.85714286,10.53333333,73.17647059,7.444444444,34.08333333,91,91.82352941,64.33333333,69.81818182,40.45454545,38.84615385,54.4,16.23076923,86.0625
Dealer - Buyer,85.83333333,31.58823529,3.4375,74.3,12.92857143,78.1875,16.61538462,43.2,74,34.2,86.46153846,12.8125,9.333333333,30.66666667,80.73333333,3,65.94444444,52.4375,58.30769231,48.61538462,35.14285714,94.58333333,54.46153846,92.07142857,87.35294118,86.72727273,57.92307692,33.84615385,5.083333333,99.6
Sugar-daddy - Sugar-baby,68.85714286,23.86363636,15.76470588,76.53846154,51.33333333,63.4,59.64705882,2.2,70.76470588,71.15789474,77.05,62,44.42857143,50,39.53333333,77.52631579,33,27.1875,75.53333333,33.875,50.53846154,74.88888889,32.69230769,67.33333333,34.22222222,72.31578947,61.6875,51.0625,79.52173913,84.125
Director - Performer,42.84210526,14.63157895,25.17647059,78.4375,49.90909091,78.875,47.33333333,35.45,83.6,40.47058824,37,52.05555556,28.76923077,20.375,95.23809524,7.090909091,91.28571429,46.76190476,74.8,30.55,84.64705882,79.70588235,75.2,76.2,84.22222222,51.75,58.43478261,63.875,16.92857143,58.22222222
Psychologist - Client,34.83333333,34,19.23809524,71.92307692,59.95238095,81.75,67.15,73.09090909,79,62.125,39.16666667,46.66666667,16.23529412,28.125,84.58333333,1.6,84.05555556,26.11111111,86.6,20,51.41176471,83.42105263,20.9,70.35714286,89.44444444,67.3125,56.17391304,74.52380952,27.64285714,85
Judge - Contestant,51,6.956521739,9.916666667,82.71428571,4.5,82.6,26.5625,42.5,62.13333333,42.72727273,41.54545455,12.9,7,9.75,81.05882353,3.470588235,75.26315789,45.91666667,56.4375,30.625,30.625,62.13333333,81.5,71.5,80.83333333,53.4,30,21.54545455,6.105263158,35.10526316
Man - God,24.83333333,8.523809524,73.70833333,36.3125,85.72222222,61.63157895,57.93333333,50.72222222,67.5625,46.57142857,17.1,72.4375,66.41666667,74.93333333,19.93333333,11.82352941,46.04761905,30.47058824,76.28571429,41.61538462,60.33333333,45.26315789,23.38461538,19.88888889,29.17647059,20,34.1875,76.13333333,54.2,14.27777778
Between Co-workers,63.83333333,71.57142857,57.46153846,84.52631579,61.61111111,78.61538462,59.26666667,76.2,73.36842105,30.82352941,35.83333333,56.5,32.8,29,84.92307692,11.27272727,80.05882353,25.21428571,57.625,18.06666667,90.375,60.36842105,77.73684211,67.94444444,86,46.72222222,81.55,58.25,18.23529412,31.5
Between sports rivals,37.375,82.47058824,35.13333333,46.17647059,59.5,68.78947368,44.4375,28,69.23529412,45.375,7.285714286,16.58823529,9.545454545,33.6875,64.89473684,3.6875,31,91.23809524,2.538461538,47.13333333,20.47368421,26.25,90.76470588,55.88235294,57.89473684,36.83333333,62,36.7,6.166666667,26.21428571
Between romantic rivals,34.15384615,47.93333333,34.45,47.66666667,22,69.93333333,53.11764706,9.8,56.22222222,64.35,1.555555556,22.25,5.076923077,71.8,0.071428571,26.81818182,26.8125,96.21428571,10.92857143,62.76470588,24.77272727,16.75,29.94117647,30.36363636,15.25,18.5,12.08333333,47.64285714,15.58823529,6.095238095
Between criminal and their accomplice,63.38461538,66.66666667,56.08333333,84.1,43.45,83.2,56,25,72.78571429,62.92857143,60.55555556,44.76923077,22.07692308,18.57142857,60.66666667,11,70.66666667,43.0952381,76.44444444,68.14285714,78.77777778,40,16.22727273,53.66666667,28.75,62.35714286,48.06666667,66.63157895,21.8,68.4
Between diplomats,93,78.05555556,40.26666667,44.27777778,43.57142857,63.58823529,34,83.28571429,57.84210526,52.4,39,29.875,19,11.09090909,89.46666667,5.0625,81.125,62.6875,37.7,59.23529412,45.63157895,53,62.47058824,96.95,95.1,36.69565217,74.07692308,52.40909091,15.17647059,36.88235294
Principal - Teacher,60.14285714,15.41176471,32,77.86956522,60.125,88.83333333,69.5,75.75,80.25,63.27272727,34.55555556,44.54545455,12.61538462,22,93.47619048,1.666666667,86.21052632,31.92307692,78.54545455,27.82352941,89.5,64.26666667,86.5,76.86666667,91.61904762,64.8,52.88235294,65.53333333,12.90909091,57.90909091
Professor - Teaching Assistant,31.69230769,18,30.88235294,82.05,45.73333333,62.8,65.61904762,72.48,73.42105263,55.64705882,37.41176471,51.1,21.14285714,9.166666667,96.25,2.866666667,85.42857143,20.04166667,85.57894737,19.52380952,74.77777778,85.84615385,77.66666667,72.1,81.71428571,52.42105263,61.17647059,65.53333333,8.8125,38.625
University student - Administrator,48.6875,4.466666667,20,65,27,54.13333333,37.05263158,65.10526316,59.06666667,37.26666667,29.42105263,34.52631579,16.52380952,14.82608696,89.6,4.533333333,72.2,28.25,72.95454545,27,81.07142857,75.68421053,60.125,68.54545455,90.2,52.8,39.44444444,45.55555556,8,60.5
Student - Dorm Resident assistant,37.875,34.82352941,41.33333333,76.7,25.86956522,67.15384615,43.6875,31.6,56,28.1875,25.15384615,21.33333333,27.84615385,28.42857143,62.70588235,2,73.4375,36.875,74.15384615,23.95652174,68.0625,72.93333333,82,51.86666667,74.13333333,45.89473684,32.64285714,50.42857143,12.57142857,15.28571429
Mentor - Mentee,43.58823529,12.88235294,39.41666667,65.42857143,59.33333333,71.23809524,79.61538462,62,86.89473684,45.85714286,38.25,64.64705882,47.57142857,31.05882353,69.75,7.6,96.33333333,14.05882353,83.3125,22,64,73.2,38.17647059,57.53846154,60.68421053,43.27777778,44.58333333,83.25,24.0952381,18.52941176
Athletic trainer - Trainee,45.82608696,32.07692308,15.4,86.73684211,39.05263158,90.42857143,64.55555556,40.43478261,84.94736842,66.82352941,47.58823529,39.85714286,24.23076923,9.3125,88.45833333,4.588235294,87.65,27,79.5,38.8125,52.375,89.12,65.83333333,79.6,76.84615385,66.21052632,53.72222222,59.31818182,14.82352941,86.5
Researcher - Research Subject,39.47826087,23.23809524,18.29166667,68.94444444,16.21428571,64,37,69.55555556,63.73913043,32.57142857,24.46153846,22.82352941,8.625,18.21428571,93.20689655,3.407407407,80,17.41666667,80.68181818,28,50.25,64.625,64.15384615,64.83333333,84.25,64.4375,33.85714286,50,11.93333333,57.5
Between peers,46.31818182,91.07142857,63.25,70.05882353,56.8125,68.15384615,48.58823529,51.73333333,73.125,25.68421053,35.57894737,62.44444444,55.47368421,62.14285714,40.8,21.63636364,74.82352941,36.05,59.57142857,23.5625,80.78947368,30.16666667,48.76470588,40.61538462,11.6,31.64705882,66.84615385,67.8,30.13333333,17.38888889
Between classmates,39.92307692,92.57142857,56,77.5,45.92307692,76.16666667,40.91666667,54.38888889,73.66666667,34.66666667,24.6,44.25,57.6,54.1875,38.76470588,5.444444444,67.21052632,36.66666667,49.6875,22.0625,81.8,24,75.64705882,49.3125,32.33333333,47.35714286,63.91666667,59.75,21.77777778,12.94117647
Between roommates,73.58333333,92.46666667,55.86363636,96.125,60.10526316,80.11111111,66.75,36.66666667,85.15384615,49.4375,43.8,68.29411765,50.875,70.15384615,13.28571429,16.8125,65.11111111,30,70.125,17.85714286,76.73333333,49.77777778,39.19047619,40.31578947,25.70588235,36.94117647,82.17647059,74.0625,33.625,60.28571429
Between sorority sisters,46.66666667,77.61111111,78.61111111,83.71428571,73.5,84.69230769,83.33333333,29.53333333,79.47368421,38.86666667,33.21428571,85.5,72.38095238,78.13333333,14.05,3.333333333,63.42105263,28.46153846,81.52631579,17.66666667,93.58333333,24.5,52.4,21.5,29.19047619,19.23529412,76.625,74.58823529,46.1875,19.76923077
Between fraternity brothers,53.17647059,89,80.16666667,78.22727273,79.35294118,76.89473684,76.52,22.73333333,76.125,59.14285714,29.15789474,77.81818182,74.8,84.05882353,13.36363636,6.111111111,60.57142857,15.89473684,82.54166667,36.3,90.22222222,12.30769231,49.875,19.66666667,14.26666667,15.73684211,76.70588235,66.26315789,43.375,11.57894737
Bride - Bridesmaid,27.9375,43.42105263,74.7,85.47058824,58.55555556,85.86956522,78.5,30.95652174,92.41176471,85.4375,28.76190476,75.875,80.71428571,71.19047619,13.35294118,11.04545455,62.47368421,20.22222222,89.5,18.88888889,81.55,34.63636364,51.94444444,27.26923077,32.73684211,35.04761905,67.375,86.44444444,56.16666667,18.4
Groom -  Groomsman,32.4,51.66666667,71.76470588,82.11764706,60.06666667,89.15789474,72.10526316,47.5,90.75,66.71428571,19.44,71.33333333,76,79.61538462,7.823529412,15.875,70.9047619,7.65,78.84615385,7.789473684,70.6,60.77777778,62.23529412,41.42857143,46.22222222,12.33333333,52.4,83.11111111,33.83333333,9.307692308
Predecessor - Successor,46.36842105,37.06666667,37.18181818,61.3125,49.125,23.33333333,50.06666667,59.73333333,64.17647059,65.58823529,29.19047619,40.93333333,24.54545455,21.17647059,72.78947368,10.6,83.41176471,34.85714286,56.73333333,18.23809524,72.9375,39,57.41666667,64.91666667,82.45,26.0625,43.30769231,58.85,11.31578947,37.625
Landlord - Tenant,64.1,18.78947368,5.428571429,48.29411765,52.52941176,77.84210526,37.76923077,56.35294118,55.93333333,42.85714286,68.2,27.5625,11.9047619,12.11764706,74.77777778,5.333333333,51.45833333,44.55555556,73.72727273,28.57894737,56.1,71.4,63.35714286,93.8125,91.38461538,88,80.17647059,46.63636364,0.785714286,97.6
Landlord - Housekeeper,62.35714286,7.75,12.66666667,45.83333333,49.29411765,58.23809524,31.23076923,43,66.77777778,44.82352941,80.1875,15.85714286,10.47368421,5.65,82.73684211,1,70.06666667,42.57894737,83.26666667,23.66666667,41.84615385,88.9,42.92307692,85.88235294,79.5,81.0952381,64.82352941,43.92857143,6.75,92.11111111
Guest - Host,63.82352941,42.84615385,39.84615385,85.0625,20.625,79.86666667,44.61904762,41.8,80.21052632,43.88888889,53.82352941,48.4375,47.5,28.45454545,63.125,7,68.29411765,16.46153846,70.44444444,14.875,59.16666667,71.36363636,53.19047619,49.23809524,57.6,54.86363636,49.51851852,54.22222222,13.38888889,47.57142857
Television host - Guest,51.77777778,50.15384615,36.81818182,80.57894737,8.368421053,74.8,17.47826087,31.68421053,56.5625,24.66666667,49,8.4,10,12.85,90.78947368,4.375,76,25.28571429,67.625,23.06666667,39.36842105,42.23809524,89.38461538,70.35714286,81.5,40.28571429,38.78571429,27.91666667,7.736842105,48.9375
Volunteer - Organizer,48.71428571,29.375,57.17391304,74.75,32.36363636,79.21428571,52.47058824,61.57142857,67.5625,35.73333333,27.07692308,37.15789474,41.15789474,21.07142857,88.69230769,4.5,72.33333333,17.5,86.86666667,13.64705882,86.83333333,68.33333333,79.07142857,63.33333333,68.84615385,49.89473684,52.23076923,67.28571429,6.1875,7.307692308
Celebrity - Fans,14.85,22.82352941,27.625,16.66666667,46.45454545,28.125,12.47368421,25.52631579,24.6,13.75,51.33333333,25.85714286,43.6,39.86666667,53.45454545,10.5,35.66666667,29.04761905,45.6,16.91666667,41.73333333,46.55,78.94444444,66.64285714,34.07142857,19.53333333,16.42307692,32.53846154,12.2173913,57.5
Celebrity - Haters,24.72727273,35.05882353,30.3125,5.15,19.7,26.78947368,9.75,10.3,13.3,15.76923077,17.07692308,18.12,7.285714286,46.29166667,44.95454545,1.217391304,19,94.36842105,6.761904762,44,21.38888889,29.2,83.85714286,26,30.25,14.76470588,2.4375,14.57142857,1.315789474,12.75
Native - Tourist,48.94117647,52.71428571,18.27777778,60.5,8.5,51.86363636,15.375,43.7,27.05882353,24.71428571,68.63157895,16.73684211,13.94444444,28.81818182,41.2,4.384615385,59.3,22.04761905,45.5,20.30434783,35.0625,41.91666667,72.29411765,62.94117647,49.77777778,47.21052632,49.58823529,24.0625,6.625,53.26666667
Bully - Victim,20.5625,14.36842105,27.76470588,71.26315789,35.27777778,82.05555556,49.57142857,29.85714286,70.58823529,59.66666667,15.95,34.27272727,2.071428571,53.68421053,13.88235294,3.357142857,25.35294118,90.2,9.2,98.13333333,15.375,20.92307692,61.06666667,24.77777778,16.19047619,29.57142857,6.842105263,35.10526316,2.058823529,29.27777778
Between friends,48.61904762,93.86363636,86.94736842,69,81.4,79.36842105,83,47.53333333,90,54.90909091,26.625,88.04545455,83.11111111,91.28571429,11.73684211,7.416666667,75.3125,18.27272727,88.22222222,10.53333333,88.35294118,19.125,45.11111111,20.4,11.6,41.0625,77.42857143,89.73333333,63.27777778,14.13333333
Between Facebook Friends,43.16666667,85.88235294,58,28.57142857,51.0625,39,36.57142857,32.7,46.06666667,26.8125,15.42857143,49.29411765,50.77777778,79.38888889,15.52941176,22.94444444,52.5,17.13636364,58.29411765,13.73333333,62.61111111,15.9047619,65.94736842,23.27272727,20.46153846,16.05555556,54,56.94736842,35,9.333333333
Between a person and their social media follower,18.11111111,26.5625,48.38461538,16.71428571,38.94444444,50.78947368,27.27777778,28.2,33.38888889,12.42857143,30.23529412,35.73684211,34.71428571,56.95833333,30,11.68421053,47.625,18.52941176,55.47619048,22.83333333,78.25,9.8,75.33333333,60.27777778,32.25,27.22222222,24.83333333,50.58823529,9.705882353,28.46666667
Between childhood friends,50.125,83.88888889,82.58333333,78.53846154,81.26666667,69.85,81.57142857,59.81818182,82.52941176,63.57894737,54,79.66666667,88.15789474,87.77272727,9.6,5.291666667,59.52631579,19.25,79.625,8.857142857,75.59090909,14.36363636,54.10526316,26.15,3.071428571,13.6,84.5,88.17647059,48.07142857,6.466666667
Between pen-friends,59.25,88.0625,63.95,19.28571429,68.26666667,62.3125,58.08333333,27.5625,62.76470588,56.25,34.33333333,72.66666667,54.85714286,79.94736842,10.45,19.15384615,57.71428571,9.0625,81.13333333,11.92857143,73.53846154,20.8,15.52941176,21.28571429,10.92857143,34.6875,87.75,74.17647059,47.36363636,8.875
Between friends with benefits,55.47058824,90.2,61.65217391,78.8125,42.5,82.5625,69.18181818,14.06666667,88.78947368,50.42857143,35.83333333,61.23076923,47.4,71.66666667,13.45454545,73.15,52.16666667,27.68421053,79.28,24.44444444,67,70,13,40.64705882,12.41176471,69.875,79.5,58.38888889,88.94117647,18.5
Between political allies,78.58823529,74.4,28.2,47.9047619,45.84210526,67.86666667,47,80.0952381,62,35.9,25.25,50.94444444,21.2,24.9,75.90909091,2.3125,73,39.77272727,75.04761905,56.60869565,67.88235294,42.30769231,67.38095238,80.16666667,78.3125,42.09090909,58.25,59.3125,11.30769231,54.26666667
Between romantic lovers,67.77272727,82.5,96.4375,89.30769231,85.75,92.33333333,97.95,60.66666667,97.05,75.81818182,35.64285714,97.2,98.26315789,98.5,20.1,97,90.31578947,16.6,93.375,10.55,83.28571429,18.16666667,21.7,22.04761905,19.36842105,30.30769231,89.76470588,95.875,97.5625,21.8
Between ex-lovers,60.08,77.23076923,53.55,21.5,41.21052632,39.15,58.13333333,14,39.89473684,59.31578947,9.882352941,34.53333333,48.07142857,77.63157895,3.894736842,56.77777778,23.55555556,60.26666667,11.90909091,40.2,49.25,15.28571429,16.17647059,31.8125,17.93333333,23.33333333,51.30769231,50.44444444,41.04166667,21.55555556
Between life-partners,65.73333333,84.15789474,91.52631579,96.5,90.58823529,83.4375,88.93333333,61.9375,84.65,79.46666667,45.75,93.41176471,94.23529412,95.14285714,2.363636364,98.27272727,92.06666667,29.41666667,96.23076923,19.61538462,91.8125,21.33333333,52.47368421,31.52941176,8.944444444,37.53846154,79.29411765,93.1875,98.58823529,23.26666667
Between soul-mates,39.23076923,97.4,98.14285714,92.91666667,95.33333333,91.6,94.2,44.7,87.58823529,93.80952381,40.26315789,99.26315789,100,99,8.411764706,99.35714286,83.55555556,16.58333333,98.3,11.30434783,95.92857143,17.0625,34.4,13.26315789,5.428571429,30.76470588,95.47058824,91.875,93.125,21.96
Between strangers,26.17647059,76.1875,40.13333333,17.21052632,1.833333333,28.58333333,5,38.83333333,14.44444444,9.578947368,25.88,5.647058824,6.461538462,52.93333333,11.58333333,15.625,13.73913043,41.1875,42.66666667,30.25,21.52173913,18.9,62.61111111,37.11111111,45.72222222,43.2,33.26666667,5.5,3.285714286,21.38461538
Between neighbors,61.39130435,84.09090909,64.28571429,90.15,76.71428571,62.73684211,43.64285714,51.64285714,61.66666667,55.05882353,36,51.19047619,45.5,76.23076923,11.5,6.8,62.42857143,35.58823529,72.38888889,19.90909091,63.16666667,15.30769231,53.88235294,37.94444444,25.46666667,21.5,66.2,55.625,24.58823529,2.75
Between church members,50.26315789,88,82.9,82.83333333,70.25,77.5,62.35,46.4,73.9047619,16.61538462,23.66666667,58.92857143,62.92857143,81.05263158,27.86666667,3.785714286,59.04,19.36363636,80.125,10.05882353,95.375,38.9,78.21052632,34.78571429,38.35294118,17.17647059,78.3125,62.33333333,26.6,14.625
Between fans of the same sports team,38,84.1,58.28571429,52.06666667,46.61904762,77.78571429,39.16666667,22.0625,45,18.22727273,18.52941176,42.33333333,62.05,75.64285714,24.36363636,14.4,55,16.04761905,84.91304348,11.61111111,92.23809524,21.33333333,73.32,47.07142857,15.64705882,26.26315789,67.125,37.875,24.35,17.46666667
Between fans of opposing sports teams,20.58823529,81.6,35.05,36.54545455,33.22222222,60.1,17.78571429,22.92857143,47,10.78571429,3.636363636,8.583333333,13.16666667,38.36363636,16.33333333,3.3,20.4,85.47368421,1.736842105,47.42105263,19.30434783,8.842105263,78.82352941,31,29,20.66666667,27.34782609,20.15384615,2.470588235,15.38461538
Superior - Subordinate,43.05882353,4.5,25.35714286,65.18181818,46.85714286,74.08333333,40.72222222,65.64285714,70.45454545,49.06666667,22.5625,20.73684211,8.105263158,9.45,81.4375,1.64,85.2173913,46.5,58.05555556,61.75,50.26666667,73.66666667,77.66666667,71.15789474,93.35,27.07692308,42.55555556,59.83333333,2.944444444,57.92307692
Aunt - Niece/Nephew,30.5,18.11764706,89.46666667,58.4375,95.25,79.33333333,80.15384615,55.84615385,82.73684211,89.33333333,26.26315789,87.57894737,91,95.14285714,4.052631579,35.84615385,51.38888889,17.5,83.75,17.88235294,82.82352941,13.64705882,33.76470588,12.125,13.72222222,26.5,69.3125,80.71428571,50.09090909,7.6875
Uncle - Niece/Nephew,42.33333333,30.76470588,83.35294118,64.22222222,92,66.55555556,67.3125,62.92307692,88.27272727,83.8125,41.33333333,87.43478261,86.57142857,88.375,3.111111111,23.375,68.13636364,10.61538462,88,2.769230769,85.15384615,13.88235294,53.26315789,9,20.25,27,65.89473684,80.16666667,52.89473684,23.47619048
Between frenemies,42.77777778,70.54545455,37.94444444,44.14285714,48,49.625,47.35,10.05555556,58.11764706,61.64285714,19.77777778,29.73684211,22.68421053,67.88888889,15.76190476,4.75,38.07692308,77.55,11.5625,49.59090909,41.94117647,13.5,35.05263158,53.11764706,34.5,34.94736842,37.93333333,56.45454545,16.11111111,13.52941176
Between half-siblings,47.40909091,80.125,80.63157895,64.19047619,90.27777778,67.88888889,73.63157895,37.10526316,83.41666667,86.09090909,35.16666667,78.75,77.5,83.35714286,3.6,28.28571429,70.15384615,44.85714286,58.89473684,22.88235294,79.05882353,9,53.23076923,23.80952381,7.714285714,46.91666667,71.7,79.28571429,31.5,6.411764706
Between adoptive parents and adopted kids,40.625,20.77272727,97.625,95.28571429,96,83.75,94.57142857,79.38888889,92.53333333,76.15789474,53.07142857,94.625,97.8,94.8,4.777777778,23.8,86.58823529,25.78571429,91.1,34.38095238,78.47058824,32.61904762,37.76923077,13.76470588,5.733333333,21.83333333,64.30769231,91.84615385,76.86666667,14.78947368
Mother - Infant,25.6875,10.6,92.6875,92.78571429,99.86666667,81.7826087,94.94736842,78.64285714,91.5625,87,30.4,96.91666667,96.05882353,98.23076923,2.111111111,50.77777778,74,13.66666667,90.73333333,17.18181818,87,32,38.42105263,2.388888889,10.0952381,48.16666667,54.61538462,98.45,78.66666667,2.8
Between alumni,27.1875,80.84210526,61.66666667,34.47368421,66.28571429,38.0625,40.07142857,41.94444444,50,28.14285714,29.46666667,45.5,39.5,34.42105263,30.23529412,11.44444444,49.73333333,26.92857143,69.35714286,26,89,24.57142857,60.64705882,43.11111111,46.46153846,31.95238095,52.46666667,42.52941176,13.88235294,20
Between a monarch and their minister,40,8.307692308,44.86666667,58.94444444,68.15789474,67.40909091,58.30769231,72.3,74.6875,67,22.13333333,62.75,34.76923077,37.05263158,79.4,2.538461538,76.23529412,31.55,70.78571429,41.3,76.86956522,63.2,46.76923077,74.2,82.85,41.33333333,39.5,59,9.833333333,32.17647059
Between confidants,63.46153846,85.05263158,75.78571429,72.5,70.70588235,73.3125,83.41176471,43.66666667,86.72222222,76.41666667,38.11764706,83.8125,67.33333333,66.47058824,10.04761905,26.23809524,81.05263158,15.81818182,88.17647059,15.36842105,84.11111111,26.28571429,21.875,20.06666667,18.88888889,18.8,82.9047619,82.36363636,59.61111111,16.5
Between a person and their significant other,55.14285714,94.71428571,83.07142857,92.94444444,91.95,86.5,98.55555556,57.95238095,90.5625,89.875,55.70588235,94.13333333,99.58333333,89.69230769,9.9375,88.66666667,83.04545455,35.0625,94.1875,24.3125,86.625,41.92857143,43.78947368,28.88888889,16.21052632,29.4375,88.69230769,95.55555556,97.65,34.88888889
Between companions,55.94444444,91.73684211,85.41176471,92.58823529,87.92307692,80.61904762,95.6,53.85,87.21052632,80.58823529,41.06666667,81.9,91.53846154,84.625,9.625,71.5,84.47058824,23.66666667,90.70588235,29.08333333,86.8125,31.75,40.16666667,34.33333333,8.3,39.66666667,91,89,75,22.53846154
Between playmates,44.76923077,88.61904762,80.9375,89.89473684,51.46153846,94.91666667,57.6875,38.94117647,83.46153846,30.75,21.46666667,67.58333333,71.53846154,72.5,9.705882353,5.533333333,53.8125,27.1,76.85714286,20,79.78947368,20,39.17647059,36.15384615,11.13636364,25.25,75.95,63.38888889,45.89473684,8.882352941
Between competitors in sports,24.25,78.66666667,35.25,75.7,18.22727273,77.73333333,41.94444444,45.0952381,74.46153846,22.11111111,10.3125,22.16666667,8.846153846,7.882352941,74.8125,4.307692308,30.64705882,88.53333333,6.454545455,56.92857143,17.90909091,16.63636364,88.5,76.90909091,58.28571429,37.57894737,37.08333333,44.33333333,12.66666667,16.84210526
Between a person and their crush,29,60.76470588,59.3,63.90909091,49.35,48.25,55.9,21.17647059,49.76923077,64,21.35714286,65.25,85.6875,86.11111111,9.529411765,72.07142857,52.86666667,20.36363636,63.52941176,13.52941176,57.23076923,10.26086957,26.72222222,25.93333333,16.06666667,13.55,45.625,82.6,61,13.16666667
Between cohabitants,66.07692308,88.25,85.76923077,96.72727273,59.64285714,90.875,80.38888889,46.23076923,76,68.42857143,46.05882353,67.23076923,43.63636364,58.91666667,18.3,56.15384615,71.33333333,35,94,15.21428571,81.33333333,26.47058824,28,43.72222222,32.07692308,38.75,84.15384615,71.42105263,44.4375,48.47058824
