,Negotiation,Equality,Communal Sharing,Spatial Distance,Endurance,Synchronicity,Activity Intensity,Importance for society,Activeness,Uniqueness,Goods Exchange,Attachment,Love Expression,Socioemotional,Occupational,Mating,Information Exchange,Conflict,Valence Evaluation,Coercion,Affiliation/Coalition,Service Exchange,Visibility,Strategic,Formality and Regulation,Concreteness,Expected Reciprocity,Importance for individuals involved,Intimacy,Money Exchange
Grandparent - Grandchild,30.73333333,15.6,86,71.46666667,97.25,78.44444444,84.18181818,74.05555556,86.13333333,89.77777778,26.13333333,97.125,98.13333333,88.81818182,1.631578947,44.9375,80.875,11.38461538,88.69230769,23.6,79.75,14.08333333,43.53846154,6.666666667,6.888888889,27.5,57.54545455,94.45,80.66666667,19.35714286
Step-parent - Step-child,52.16666667,14.8,86.13333333,92.3,93.92307692,72.26666667,90.21052632,71.57142857,89.5,81.85,37.71428571,90.84615385,92.23076923,83,14.47058824,39,83.4,40.73333333,71.47058824,32.84210526,61.41176471,18,30.52631579,14.66666667,20.38888889,30.8125,79.53333333,85.22222222,60.47058824,28.77777778
Foster-parent - Foster-child,44.45454545,15.25,76.07142857,98.5625,82.61111111,76.05263158,88.82352941,86,87.375,79,42,91.94444444,85.375,86.96296296,21,23.72222222,80.9375,35.07142857,81.89473684,25.66666667,75.375,44,43.75,13.35,22,44.23076923,53.47058824,91.85,70.92307692,23.17647059
Godparent -  Godchild,37.6875,21.83333333,85.16666667,58.33333333,91.63157895,56.29411765,72.2,44.76470588,74.85714286,89.2,22.75,68.11111111,90.58333333,91.875,3.357142857,10.41176471,75.38461538,8.25,84,9.473684211,77,32.66666667,28.61538462,21.64285714,18.78947368,17.9,58.15,74.23809524,53.95,16.88888889
Step-grandparent -  Step-grandchild,34.23529412,23.64705882,79.64285714,63.07692308,83.15789474,59.36363636,78.16666667,45.26666667,69.57142857,92.15,23.09090909,76.21052632,91.375,93.46666667,2.952380952,39,71.72727273,12.33333333,89.35714286,6.8,81.33333333,23.25,39.8125,16.09090909,18.21052632,26.14285714,66.5625,76.47368421,50.26315789,3.3125
Ancestor - Descendant,24.78571429,51.5625,80.63157895,15.27777778,95.21428571,16.22222222,32.33333333,58.65,29.9375,66.16666667,13.85714286,46.94444444,68.42105263,84.27777778,16.27272727,44,37.0625,9.565217391,83.75,17.94444444,71.40909091,13.88235294,30.55555556,7.3125,23.5,18.22222222,34.06666667,52.38888889,27.33333333,13.42857143
Bride - Groom,71.75,93.1,93.13043478,94.43478261,89.125,92.22222222,93.5,61.52173913,94.8,91.61538462,41.875,93.23809524,97.94736842,96.53846154,1.25,91.57142857,76.35,23,95.42105263,20.63157895,83.61111111,34.70588235,40.61904762,21.76470588,8.833333333,49.13333333,83.0625,98.36363636,99.93333333,27
Man - His Mistress,65.52631579,43.23809524,51.58333333,79.86666667,45.66666667,75.65,67.66666667,5.642857143,86.33333333,78.16666667,45.1875,70.69230769,73.25,83,13.13333333,77.26666667,54.0625,30.17647059,79.66666667,35.6,57.16666667,47.57894737,8.684210526,24.05882353,20.94117647,51.64705882,63.64285714,66.16666667,93.76923077,64.25
Man’s Wife - Man’s Mistress,44.1875,43.16666667,44.42857143,53.73333333,37,58.28571429,45.75,9.818181818,44.42857143,78.61538462,19.2,38.11111111,32,61.72222222,1.2,78.42857143,31.46666667,65.46153846,60.64705882,44.17647059,40.72222222,24.27777778,3.428571429,22.35714286,12.14285714,50.4,36.78571429,52.81818182,53.125,8.666666667
Brother - Sister,36.8,77,88.04347826,84.58823529,97.41666667,68.86666667,81.88235294,64.73333333,64.33333333,83.26315789,20.2,87.77777778,86.93333333,90.92307692,2.5,4.8,81.30769231,35,66.90909091,24.2,84.75,28.71428571,51.625,14.41176471,18.9,22.86666667,83.71428571,91.42857143,36.23529412,14.07692308
